Seccion	Circuito	Nombre Seccion	Nombre Circuito	Electores 2007	Electores 2011	Electores 2013	Electores 2015	Electores 2017	Electores 2019	Localidad / Comuna / Asentamiento
13	167	RIO CUARTO	BULNES	1023	1104	1070	1083	1056	1032	BULNES
25	366	TULUMBA	LUCIO V MANSILLA	1009	1016	1079	1088	1055	1042	LUCIO V MANSILLA
18	261A	SAN ALBERTO	SAN LORENZO	638	729	814	961	1053	1151	SAN LORENZO
21	316F	SANTA MARIA	VALLE DE ANIZACATE	302	420	488	793	1040	1121	VALLE DE ANIZACATE
4	51	CRUZ DEL EJE	PASO VIEJO	824	855	824	978	1035	1071	PASO VIEJO
3	35A	COLON	MI GRANJA	598	736	763	915	1024	1092	MI GRANJA
6	76	GRAL SAN MARTIN	CHAZON	973	976	961	994	1024	1035	CHAZON
18	260	SAN ALBERTO	AMBUL	960	959	974	944	1022	1008	AMBUL
12	155A	PUNILLA	LOS COCOS	851	895	929	1022	1018	1048	LOS COCOS
20	294	SAN JUSTO	LA PAQUITA	887	952	968	987	1018	1033	LA PAQUITA
11	144	POCHO	CHANCANI	848	962	990	1010	1015	1029	CHANCANI
8	105	JUAREZ CELMAN	BENGOLEA	881	895	912	971	993	1013	BENGOLEA
6	75	GRAL SAN MARTIN	AUSONIA	785	858	890	946	977	989	AUSONIA
16	238	RIO SEGUNDO	MATORRALES	937	953	971	956	973	965	MATORRALES
21	316I	SANTA MARIA	VILLA LOS AROMOS	547	624	662	850	956	1029	VILLA LOS AROMOS
10	138	MINAS	CIENAGA DEL CORO	492	605	751	926	946	887	CIENAGA DEL CORO
16	237A	RIO SEGUNDO	MANFREDI	768	785	830	918	941	986	MANFREDI
14	222	RIO PRIMERO	VILLA FONTANA	959	942	942	911	933	938	VILLA FONTANA
4	46	CRUZ DEL EJE	GUANACO MUERTO	494	599	691	958	932	843	GUANACO MUERTO
13	182	RIO CUARTO	LAS VERTIENTES	790	835	894	908	931	932	LAS VERTIENTES
4	50	CRUZ DEL EJE	MEDIA NARANJA	814	794	808	862	924	997	MEDIA NARANJA
15	225	RIO SECO	GUTEMBERG	884	825	839	860	898	904	GUTEMBERG
18	265C	SAN ALBERTO	SAUCE ARRIBA	541	606	672	797	865	931	SAUCE ARRIBA
26	374	UNION	BALLESTEROS SUD	609	644	622	675	854	1637	BALLESTEROS SUD
21	328B	SANTA MARIA	VILLA CIUDAD DE AMERICA	513	515	578	744	850	914	VILLA CIUDAD DE AMERICA
19	274	SAN JAVIER	SAN JAVIER	936	971	814	724	841	956	SAN JAVIER
2	328A	CALAMUCHITA	LA CUMBRECITA	411	465	641	762	834	832	LA CUMBRECITA
